rank,company,return_5y_pct,return_10y_pct,stoxx_ticker,yf_ticker,idBbCompany
35,RWE AG,107.4,491.8,RWE-DE,RWE.DE,115675.0
36,Ringkjobing Landbobank A/S,159.9,485.3,RILBA-DK,RILBA.CO,120259.0
37,KGHM Polska Miedz S.A.,73.0,474.2,KGH-PL,KGH.WA,60618797.0
38,Hochschild Mining plc,289.6,469.4,HOC-GB,HOC.L,169708.0
39,ABB Ltd.,262.2,464.9,ABBN-CH,ABBN.SW,825197.0
40,UniCredit S.p.A.,697.2,458.9,UCG-IT,UCG.MI,115657.0
41,3i Group plc,126.2,448.2,III-GB,III.L,53623114.0
42,Holcim Ltd,278.7,446.4,HOLN-CH,HOLN.SW,115725.0
43,Swiss Life Holding AG,168.4,444.5,SLHN-CH,SLHN.SW,116655.0
44,SPAREBANK 1 SOR-NORGE ASA,92.6,443.4,SB1NO-NO,SB1NO.OL,
45,Schneider Electric SE,122.9,439.7,SU-FR,SU.PA,115518.0
46,Storebrand ASA,135.5,439.6,STB-NO,STB.OL,812746.0
47,SSAB AB Class B,145.5,430.6,SSAB.B-SE,SSAB-B.ST,118008.0
48,"ACS, Actividades de Construccion y Servicios SA",411.0,428.7,ACS-ES,ACS.MC,9834140.0
